,seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
501,15,4.15625,1869.17,1.07,285,10.18,0
502,7,5.0,57.51,1.0,1,100.0,1
503,18,3.0,68.35,1.0,1,100.0,0
504,21,2.888888888888889,76.69,1.29,169,4.14,1
505,7,3.6666666666666665,310.06,1.0,34,8.82,0
506,21,4.6,347.51,1.25,329,3.65,0
507,7,5.0,359.91,1.0,1,100.0,1
508,14,4.5,26.14,1.0,122,1.64,1
509,4,5.0,129.64,1.0,1,100.0,1
510,21,3.9585798816568047,106.03,1.39,326,29.45,0
511,14,2.3333333333333335,114.36,1.5,4,50.0,1
512,7,4.25,314.95,1.33,165,3.64,0
513,21,4.0,119.7,1.0,1,100.0,0
514,14,5.0,119.69,1.0,1,100.0,0
515,15,3.6666666666666665,125.8,1.0,17,17.65,1
516,21,4.909090909090909,60.24,1.38,79,10.13,0
517,21,4.125,265.83,1.0,277,5.42,0
518,21,5.0,168.63,1.0,1,100.0,1
519,19,5.0,727.22,1.0,35,5.71,1
520,5,4.071428571428571,142.71,1.4,46,21.74,0
521,21,3.6,106.48,1.19,346,10.69,0
522,21,4.923076923076923,118.44,1.0,109,10.09,0
523,21,5.0,55.96,2.0,1,100.0,1
