seller_state_,review_score_mean,ticket_medio,products_by_orders,dias_na_base,perc_atividade,inativo
21,5.0,55.96,2.0,1,100.0,1
21,4.5,172.08,1.0,17,11.76,0
21,4.166666666666667,296.26,1.33,46,17.39,0
14,3.0,409.45,1.33,62,4.84,1
9,4.375,188.96,1.04,346,8.96,0
21,3.769230769230769,155.18,1.86,101,5.94,1
21,4.275862068965517,274.67,1.21,240,10.0,0
21,3.7916666666666665,165.59,1.33,265,6.42,1
21,4.128491620111732,96.42,1.12,403,31.02,0
14,2.0,65.93,1.0,1,100.0,1
7,3.6,218.02,1.07,527,2.66,0
21,4.5,92.37,1.0,50,14.0,0
21,4.05,155.87,1.1,537,21.04,0
21,3.3333333333333335,40.34,1.0,62,9.68,0
21,2.8149999999999995,250.53,1.09,164,30.49,0
18,1.6666666666666667,194.12,1.5,50,4.0,1
21,4.0,81.21,1.0,13,23.08,1
21,4.333333333333333,26.23,1.0,8,37.5,1
19,5.0,64.1,1.0,1,100.0,1
21,4.125,164.98,1.14,208,3.37,1
19,5.0,71.66,1.0,1,100.0,1
19,5.0,147.35,1.0,1,100.0,1
21,4.909090909090909,46.09,1.1,44,15.91,1
4,4.2,111.07,1.25,80,5.0,1
4,3.3333333333333335,486.95,1.0,551,0.54,0
21,4.357142857142857,55.73,1.08,170,7.65,1
21,4.5,85.92,1.0,33,6.06,1
21,5.0,198.76,2.0,82,2.44,0
15,4.8,152.26,1.0,309,1.62,0
19,4.777777777777778,706.1,1.0,183,4.92,1
14,4.714285714285714,279.3,1.0,192,3.65,1
21,4.557894736842106,75.86,1.09,191,35.08,0
21,4.444444444444445,174.38,1.29,112,6.25,0
21,4.306451612903226,205.48,1.11,356,14.33,1
18,3.5806451612903225,920.33,1.72,226,7.08,0
21,4.142857142857143,111.35,1.31,163,9.2,0
21,4.163043478260869,127.67,1.3,539,11.5,0
21,4.7727272727272725,104.18,1.29,175,9.14,0
15,1.4000000000000001,360.08,1.0,221,2.26,1
21,3.375,96.96,1.14,176,3.98,0
7,4.510204081632653,281.61,1.17,572,7.17,0
21,4.564102564102564,101.3,1.08,74,41.89,0
21,3.935483870967742,117.49,1.22,563,8.35,0
21,4.0,688.24,1.0,475,2.32,0
