,media_produtos_por_pedido,media_valor_pedido_sem_frete,dias_atividade,cluster
602,1.0,300.0,1,0
603,1.0,420.2,658,1
604,1.02,372.02,330,1
605,1.22,64.0,349,1
606,1.5,48.75,236,0
607,1.0,59.08,202,0
608,1.15,130.85,371,1
609,1.0,114.66,285,1
610,1.0,1659.0,1,2
611,1.0,39.0,1,0
612,1.06,849.06,144,0
613,1.0,77.95,280,1
614,1.99,136.04,561,1
615,1.27,38.09,98,0
616,1.09,857.48,548,1
617,1.0,47.0,74,0
618,1.0,100.31,141,0
619,3.0,765.0,182,0
620,1.0,142.12,147,0
621,1.0,740.0,1,0
622,1.0,299.0,1,0
623,1.12,122.41,318,1
624,1.15,129.52,109,0
625,1.07,345.18,516,1
626,2.0,198.0,1,0
627,1.16,58.07,272,1
628,1.33,85.97,317,1
629,1.02,72.98,320,1
630,1.0,60.0,1,0
631,1.0,51.17,464,1
632,1.03,68.57,546,1
633,1.0,96.0,46,0
634,1.24,156.47,157,0
635,1.0,108.33,122,0
636,1.22,73.44,209,0
637,1.0,101.38,359,1
638,1.0,43.83,312,1
639,1.0,175.57,53,0
640,1.2,90.2,280,1
641,1.55,501.64,308,1
642,1.1,66.6,282,1
643,1.0,28.0,24,0
644,1.0,223.1,572,1
645,1.0,910.0,1,0
646,1.0,626.0,75,0
647,1.07,104.6,385,1
648,1.0,320.0,1,0
649,1.0,199.0,1,0
650,1.0,60.0,11,0
651,1.0,13.0,1,0
652,1.0,92.75,177,0
653,1.0,100.0,16,0
654,1.22,115.28,161,0
655,1.0,67.0,1,0
656,2.0,59.5,90,0
657,1.0,383.0,382,1
658,1.33,60.0,18,0
659,1.07,89.96,662,1
660,1.18,95.15,161,0
661,1.0,115.0,1,0
662,1.0,94.0,1,0
663,1.0,1537.14,66,2
664,1.0,80.56,123,0
665,1.0,350.0,188,0
666,1.13,119.72,558,1
667,1.33,43.67,3,0
668,1.04,53.82,442,1
669,1.03,158.03,345,1
670,1.28,50.83,585,1
671,1.0,39.0,20,0
672,1.0,126.0,78,0
673,1.0,770.78,212,0
674,1.0,251.11,293,1
675,1.14,648.29,233,0
676,1.0,115.0,1,0
677,1.0,92.14,127,0
678,1.0,101.0,1,0
679,1.08,60.83,88,0
680,1.11,74.96,287,1
681,1.0,900.0,1,0
682,1.0,279.5,89,0
683,1.0,380.8,271,1
684,1.03,95.12,467,1
685,1.0,136.0,3,0
686,1.18,222.05,371,1
687,1.1,282.9,259,0
688,1.13,93.53,257,0
689,1.25,274.25,62,0
